Offset_Month,Winners,Median,Losers,BuyHold_2,Volatility_Winners,Sharpe_Winners,MDD_Winners,Volatility_Median,Sharpe_Median,MDD_Median,Volatility_Losers,Sharpe_Losers,MDD_Losers,Volatility_BuyHold_2,Sharpe_BuyHold_2,MDD_BuyHold_2,Return_Winners,Return_Median,Return_Losers,Return_BuyHold_2
Jan,178.93954450261265,176.47252725828187,132.46917692972684,162.59940115511557,2.652116444951774,1.5155587505811636,-2.1775127944227535,7.310852400711738,0.5344267957988257,-5.466967279097156,11.816597991419583,0.11281250182822315,-8.398556709169346,4.943840823186793,1.4624056649513837,-2.5818191300410964,2.5930334034282465,2.3630207610085385,0.4055160692237436,2.4212923975849288
Feb,205.00004956106085,187.7698778224134,102.09132199889574,159.9469938910915,2.297512136993232,2.327071669778969,-1.2568037658686415,4.081930220564977,1.1528460731143841,-2.966295676584818,12.5095262392975,-0.40044563897475727,-8.401751373144107,4.943840823186793,1.4624056649513837,-2.5818191300410964,3.039244585640355,2.6196158299179872,-3.210759213331249,1.6311616849975952
Mar,141.68783698859147,198.77979565761328,142.38272805355282,160.02473135047953,9.919192120257312,-0.185976041732874,-8.401751373144062,5.390486370233779,1.7589701965222815,-2.4657279286276257,8.006882422546088,1.5531939870584808,-3.36401100520366,4.943840823186793,1.4624056649513837,-2.5818191300410964,-1.1180032574002796,4.5811912467818905,5.9864448468829545,3.2218811555592586
Apr,176.33309387048857,172.86755272515524,128.93550371316118,159.20472922697041,2.652116444951774,1.5155587505811636,-2.1775127944227535,7.310852400711738,0.5344267957988257,-5.466967279097156,11.816597991419583,0.11281250182822315,-8.398556709169346,4.943840823186793,1.4624056649513837,-2.5818191300410964,2.5930334034282687,2.3630207610085607,0.4055160692237436,2.4212923975849066
May,208.97869428114663,187.87904585057404,102.13981098257564,160.6469059635479,2.297512136993232,2.327071669778969,-1.2568037658686415,4.081930220564977,1.1528460731143841,-2.966295676584818,12.5095262392975,-0.40044563897475727,-8.401751373144107,4.943840823186793,1.4624056649513837,-2.5818191300410964,3.039244585640355,2.6196158299179872,-3.210759213331238,1.6311616849975508
Jun,145.03517350021116,198.81170379440775,141.69340380693174,160.71673185359487,9.919192120257312,-0.185976041732874,-8.401751373144062,5.390486370233779,1.7589701965222815,-2.4657279286276257,8.006882422546088,1.5531939870584808,-3.36401100520366,4.943840823186793,1.4624056649513837,-2.5818191300410964,-1.1180032574002796,4.581191246781913,5.9864448468829545,3.2218811555592586
Jul,177.32718452682968,171.22372432240567,126.93661171843029,158.09531326116928,2.652116444951774,1.5155587505811636,-2.1775127944227535,7.310852400711738,0.5344267957988257,-5.466967279097156,11.816597991419583,0.11281250182822315,-8.398556709169346,4.943840823186793,1.4624056649513837,-2.5818191300410964,2.5930334034282465,2.3630207610085607,0.4055160692237436,2.4212923975849288
Aug,198.98714294470668,180.76906275502492,101.35379833993717,155.65539772354566,2.297512136993232,2.327071669778969,-1.2568037658686415,4.081930220564977,1.1528460731143841,-2.966295676584818,12.5095262392975,-0.40044563897475727,-8.401751373144107,4.943840823186793,1.4624056649513837,-2.5818191300410964,3.039244585640377,2.6196158299179872,-3.210759213331249,1.631161684997573
Sep,137.7247468536927,190.23995661104047,139.85256798036,154.82036949937162,9.919192120257312,-0.185976041732874,-8.401751373144062,5.390486370233779,1.7589701965222815,-2.4657279286276257,8.006882422546088,1.5531939870584808,-3.36401100520366,4.943840823186793,1.4624056649513837,-2.5818191300410964,-1.1180032574002796,4.5811912467818905,5.986444846882977,3.2218811555592586
Oct,170.31693269971126,163.6881568190334,126.63632548436708,153.61209318079054,2.652116444951774,1.5155587505811636,-2.1775127944227535,7.310852400711738,0.5344267957988257,-5.466967279097156,11.816597991419583,0.11281250182822315,-8.398556709169346,4.943840823186793,1.4624056649513837,-2.5818191300410964,2.5930334034282465,2.3630207610085385,0.4055160692237436,2.4212923975849288
Nov,191.93095759878926,169.8595919441709,97.76122973234436,149.0382216476464,2.297512136993232,2.327071669778969,-1.2568037658686415,4.081930220564977,1.1528460731143841,-2.966295676584818,12.5095262392975,-0.40044563897475727,-8.401751373144107,4.943840823186793,1.4624056649513837,-2.5818191300410964,3.039244585640355,2.6196158299179872,-3.210759213331249,1.6311616849975952
Dec,131.98925439022838,179.3144158246626,136.47567153667447,148.9194067275497,9.919192120257312,-0.185976041732874,-8.401751373144062,5.390486370233779,1.7589701965222815,-2.4657279286276257,8.006882422546088,1.5531939870584808,-3.36401100520366,4.943840823186793,1.4624056649513837,-2.5818191300410964,-1.1180032574002685,4.5811912467818905,5.986444846882977,3.221881155559281
